Pick #,MLS team,Player,Position,Affiliation
13,Los Angeles Galaxy,Hemir Neibles,M,Brooklyn Knights
14,New England Revolution,Shalrie Joseph,M,St. John 's University
15,Dallas Burn,* Jordan Stone,M,Project-40
16,Colorado Rapids,Danny Jackson,D,University of North Carolina
17,Chicago Fire,* Craig Capano,M,Project-40
18,Dallas Burn,Matt Behncke,D,Princeton University
19,Colorado Rapids,Jeff Stewart,D,Santa Clara University
20,Columbus Crew,Jeff Matteo,M,St. John 's University
21,New England Revolution,Ian Fuller,F,Clemson University
22,Los Angeles Galaxy,Bryheem Hancock,G,University of Connecticut
23,Columbus Crew,Jon Busch,G,Hershey Wildcats
24,D.C. United,Mike McGinty,G,Richmond Kickers
25,Los Angeles Galaxy,Gavin Glinton,F,Bradley University
