Club,Home city,2004 result
América,São José do Rio Preto,12th
Atlético Sorocaba,Sorocaba,15th
Corinthians,São Paulo,16th
Guarani,Campinas,17th
Inter de Limeira,Limeira,1st ( Série A2 )
Ituano,Itu,14th
Marília,Marília,10th
Mogi Mirim,Mogi Mirim,18th
Palmeiras,São Paulo,4th
Paulista,Jundiaí,2nd
Ponte Preta,Campinas,7th
Portuguesa,São Paulo,13th
Portuguesa Santista,Santos,6th
Rio Branco,Americana,11th
Santo André,Santo André,9th
Santos,Santos,3rd
São Caetano,São Caetano do Sul,1st
São Paulo,São Paulo,5th
União Barbarense,Santa Bárbara d'Oeste,8th
União São João,Araras,19th
