Date,Name,Nationality,Moving from,Moving to,Fee
1 September 2011,Filippo Amadio,Italy,Internazionale,Ascoli,Free
2 September 2011,Juri Tamburini,Italy,Modena,Ascoli,Free
2 September 2011,Leandro Vitiello,Italy,Grosseto,Ascoli,Free
2 September 2011,Reto Ziegler,Switzerland,Juventus,Fenerbahçe,"Loan , €0.6M"
5 September 2011,Nicolás Gorobsov,Italy,Torino ( co-owned with Vicenza ),Politehnica Timișoara,Loan
8 September 2011,Filippo Savi,Italy,Parma,Brussels,?
8 September 2011,Salvatore D'Alterio,Italy,Pescara,Messina,Free
9 September 2011,Giacomo Tedesco,Italy,Reggina,Trapani,Free
9 September 2011,Fernando Marqués,Spain,Terrassa,Parma,?
12 September 2011,Daniele De Vezze,Italy,Torino,Pergocrema,Free
21 September 2011,Marcello Cottafava,Italy,Triestina,Gubbio,Free
26 September 2011,Pedro Kamata,Congo DR,Bari,Yzeure,Free
3 October 2011,Nelson Rivas,Colombia,Internazionale,Montreal Impact,Free
4 October 2011,Andrea Manucci,Italy,Cittadella,Prato,Free
19 October 2011,Davide Carteri,Italy,Cittadella,Sambenedettese,Free
20 October 2011,Gianluca Galasso,Italy,Bari,Triestina,Free
27 October 2011,Mattia Graffiedi,Italy,Piacenza,Gubbio,Free
23 November 2011,Nicola Mora,Italy,Grosseto,Spezia,Free
30 November 2011,Alberto Giuliatto,Italy,Lecce,Nocerina,Free
