Pos,No,Driver,Constructor,Lap,Gap
1,8,Nick Heidfeld,Williams - BMW,1:30.081,-
2,9,Kimi Räikkönen,McLaren - Mercedes,1:30.197,+0.116
3,7,Mark Webber,Williams - BMW,1:30.368,+0.287
4,16,Jarno Trulli,Toyota,1:30.700,+0.619
5,10,Juan Pablo Montoya,McLaren - Mercedes,1:30.890,+0.809
6,5,Fernando Alonso,Renault,1:31.056,+0.975
7,2,Rubens Barrichello,Ferrari,1:31.249,+1.168
8,17,Ralf Schumacher,Toyota,1:31.392,+1.311
9,6,Giancarlo Fisichella,Renault,1:31.566,+1.485
10,1,Michael Schumacher,Ferrari,1:31.585,+1.504
11,12,Felipe Massa,Sauber - Petronas,1:32.205,+2.124
12,14,David Coulthard,Red Bull - Cosworth,1:32.553,+2.472
13,3,Jenson Button,BAR - Honda,1:32.594,+2.513
14,15,Vitantonio Liuzzi,Red Bull - Cosworth,1:32.642,+2.561
15,11,Jacques Villeneuve,Sauber - Petronas,1:32.891,+2.810
16,4,Takuma Sato,BAR - Honda,1:32.926,+2.845
17,18,Tiago Monteiro,Jordan - Toyota,1:35.047,+4.966
18,20,Patrick Friesacher,Minardi - Cosworth,1:35.954,+5.873
19,19,Narain Karthikeyan,Jordan - Toyota,1:36.192,+6.111
20,21,Christijan Albers,Minardi - Cosworth,1:36.239,+6.158
