Name,Country,Event,Date of violation,Banned substance ( s ) / Anti-doping rule violation,Sanction
Monica Iagăr,Romania,High jump,1996,,6 months
Abdulagadir Idriss,Sudan,Sprinting,2005,Norandrosterone,2 years
Samson Idiata,Nigeria,Long jump,2015,Clenbuterol,4 years
Gulustan Ieso,Iraq,Sprtinting,2011,Methylhexaneamine,1 year
Kirill Ikonnikov,Russia,Hammer throw,2012,Dehydrochloromethyltestosterone,2 years
Chidi Imoh,Nigeria,Sprinting,1994,,4 years
Cristinel Irimia,Romania,Long distance,2014,Exogenous steroids,2 years
Ekaterina Ishova ( Ekaterina Gorbunova ),Russia,Middle/Long distance,2011,Biological passport,2 years
Daniel Ivanov,Bulgaria,Long jump,1993,Amphetamine,
Lyubov Ivanova ( Lyubov Kharlamova ),Russia,Steeplechase,2006,Methyltestosterone,2 years
Olimpiada Ivanova,Russia,Race walking,1997,Stanazolol,2 years
