Event,Time,Name,Date,Meet,Location
50m freestyle,24.26,Pietro Camilloni,31 May 2011,Games of the Small States of Europe,"Vaduz , Liechtenstein"
100m freestyle,52.83,Diego Mularoni,29 May 2001,Games of the Small States of Europe,"Serravalle , San Marino"
200m freestyle,1:53.70,Diego Mularoni,31 May 2001,Games of the Small States of Europe,"Serravalle , San Marino"
400m freestyle,3:56.73,Diego Mularoni,30 May 2001,Games of the Small States of Europe,"Serravalle , San Marino"
800m freestyle,8:27.24,Diego Mularoni,6 April 2003,-,"Ravenna , Italy"
1500m freestyle,15:53.45,Diego Mularoni,6 April 2003,-,"Ravenna , Italy"
5000m freestyle,57:22.8,Emanuele Nicolini,26 March 2005,-,"Pescara , Italy"
50m backstroke,28.19,Davide Bernardi,19 August 2014,Youth Olympic Games,"Nanjing , China"
100m backstroke,1:00.89,Davide Bernardi,13 July 2016,Finali Regionali Riccione,"Riccione , Italy"
200m backstroke,2:08.86,Marco Cesarini,29 May 2001,Games of the Small States of Europe,"Serravalle , San Marino"
50m breaststroke,29.94,Giacomo Casadei,29 May 2019,Games of the Small States of Europe,"Podgorica , Montenegro"
100m breaststroke,1:05.96,Giacomo Casadei,21 July 2019,World Championships,"Gwangju , South Korea"
200m breaststroke,2:25.52,Giacomo Casadei,29 May 2019,Games of the Small States of Europe,"Podgorica , Montenegro"
50m butterfly,25.96,Pietro Camilloni,30 June 2009,Mediterranean Games,"Pescara , Italy"
100m butterfly,57.82,Pietro Camilloni,3 June 2009,Games of the Small States of Europe,"Limassol , Cyprus"
200m butterfly,2:07.27,Emanuele Nicolini,31 May 2005,Games of the Small States of Europe,"Andorra la Vella , Andorra"
200m individual medley,2:16.1,Diego Mularoni,20 June 2002,-,"Ravenna , Italy"
400m individual medley,4:46.41,Alberto Tasini,6 July 2009,-,"Ravenna , Italy"
4×100m freestyle relay,3:38.07,( 53.27 ) Davide Bernardi ( 55.66 ) Raffaele Tamagnini ( 54.11 ) Cristian Santi ( 55.03 ) Gianluca Pasolini,2 June 2017,Games of the Small States of Europe,"Serravalle , San Marino"
4×200m freestyle relay,7:52.72,Emanuele Nicolini Matteo Cesarini Marco Cesarini Diego Mularoni,30 May 2001,Games of the Small States of Europe,"Serravalle , San Marino"
