Name,Position,Club Signed,Date
Keith Lulia,Centre,Wests Tigers,September 2013
Jamie Langley,Loose Forward,Hull Kingston Rovers,September 2013
Michael Platt,Centre,North Wales Crusaders,September 2013
Curtis Naughton,Fullback,Sydney Roosters,October 2013
John Bateman,Second Row,Wigan Warriors,November 2013
Heath L'Estrange,Hooker,Sydney Roosters,November 2013
Frank Winterstein,Prop,Australia,January 2014
Gareth Carvell,Prop,Hull F.C,February 2014
Jarrod Sammut,Stand Off,Wakefield Trinity Wildcats,February 2014
Nick Scruton,Prop,Wakefield Trinity Wildcats,February 2014
