Region,Rnd,Host,Venue,City,State
East,1 & 2,Old Dominion University,Old Dominion University Fieldhouse,Norfolk,Virginia
East,1 & 2,University of Tennessee,Thompson-Boling Arena,Knoxville,Tennessee
East,1 & 2,Duke University,Cameron Indoor Stadium,Durham,North Carolina
East,1 & 2,Virginia Tech,Cassell Coliseum,Blacksburg,Virginia
Mideast,1 & 2,University of Georgia,Georgia Coliseum ( Stegeman Coliseum ),Athens,Georgia
Mideast,1 & 2,Clemson University,Littlejohn Coliseum,Clemson,South Carolina
Mideast,1 & 2,University of Connecticut,Harry A. Gampel Pavilion,Storrs,Connecticut
Mideast,1 & 2,Iowa State University,Hilton Coliseum,Ames,Iowa
Midwest,1 & 2,University of North Carolina,Carmichael Auditorium,Chapel Hill,North Carolina
Midwest,1 & 2,Rutgers University,Louis Brown Athletic Center,Piscataway,New Jersey
Midwest,1 & 2,Purdue University,Mackey Arena,West Lafayette,Indiana
Midwest,1 & 2,Texas Tech University,Lubbock Municipal Coliseum,Lubbock,Texas
West,1 & 2,Louisiana State University,LSU Assembly Center ( Pete Maravich Assembly Center ),Baton Rouge,Louisiana
West,1 & 2,"University of California , Los Angeles",Pauley Pavilion,Los Angeles,California
West,1 & 2,Louisiana Tech University,Thomas Assembly Center,Ruston,Louisiana
West,1 & 2,Colorado State University,Moby Arena,Fort Collins,Colorado
