Name,City,Industry
ACE Ltd,"Philadelphia , PA",insurance
Arkema,"Philadelphia , PA",chemicals
AstraZeneca,"Wilmington , DE",pharmaceuticals
Bachmann Industries,"Philadelphia , PA",hobby
Bimbo Bakeries USA,"Horsham , PA",food processing
GlaxoSmithKline,"Philadelphia , PA",pharmaceuticals
HSBC Bank USA,"Wilmington , DE",financial
ING Direct,"Wilmington , DE",financial
IKEA,"Conshohocken , PA",retail
Rentokil Initial,"Reading , PA",business services
Ricoh Americas Corporation,"Malvern , PA",business services
SAP America,"Newtown Square , PA",software
Shire Pharmaceuticals,"Wayne , PA",pharmaceuticals
Siemens Healthcare,"Malvern , PA",medical
Subaru of America,"Camden , NJ",automotive
"TD Bank , N.A","Cherry Hill , NJ",financial
Teva Pharmaceuticals,"North Wales , PA",pharmaceuticals
