#,Song,Artist,Country of origin
1,Sex on Fire,Kings of Leon,United States
2,Electric Feel,MGMT,United States
3,Use Somebody,Kings of Leon,United States
4,Walking on a Dream,Empire of the Sun,Australia
5,Kids,MGMT,United States
6,Talk Like That,The Presets,Australia
7,The Festival Song,Pez featuring 360 and Hailey Cramer,Australia
8,This Boy 's in Love,The Presets,Australia
9,That 's Not My Name,The Ting Tings,United Kingdom
10,Jimmy Recard,Drapht,Australia
11,My Delirium,Ladyhawke,New Zealand
12,Embrace,Pnau featuring Ladyhawke,Australia and New Zealand
13,The King Is Dead,The Herd,Australia
14,No Sex for Ben,The Rapture,United States
15,Lights & Music,Cut Copy,Australia
16,You Do n't Know Me,Ben Folds featuring Regina Spektor,United States
17,Dance wiv Me,Dizzee Rascal featuring Calvin Harris and Chrome,United Kingdom
18,Time to Pretend,MGMT,United States
19,Business Time,Flight of the Conchords,New Zealand
20,Broken Bones,Birds of Tokyo,Australia
