Year,Title,Role
1995,Jade,Karen Heller
1998,October 22,Carole
1998,Star Trek : Insurrection,Anij
1999,The Astronaut 's Wife,Natalie Streck
2000,Center Stage,Juliette Simone
2004,The Door in the Floor,Frame Shop Owner
2004,Spider-Man 2,Rosalie Octavius
2006,Ira & Abby,Dr. Betsy Goldman
2006,World Trade Center,Judy Jonas
2006,The Fountain,Betty
2007,The Nanny Diaries,Judy Braddock
2008,Sherman 's Way,Evelyn Black
2010,Tangled,Mother Gothel ( voice )
2011,Higher Ground,Kathleen Walker
2011,Dark Horse,Marie
2012,The Bourne Legacy,Dita Mandy
2016,"No Pay , Nudity",Pearl
TBA,Anastasia,Yara the Enchantress
