Year,Time,Athlete,Location
2019,30:17.62,Sifan Hassan ( NED ),Doha
2018,30:41.85,Pauline Kamulu ( KEN ),Fukagawa
2017,30:16.32,Almaz Ayana ( ETH ),London
2016,29:17.45,Almaz Ayana ( ETH ),Rio de Janeiro
2015,30:49.68,Gelete Burka ( ETH ),Hengelo
2014,30:42.26,Sally Kipyego ( KEN ),Palo Alto
2013,30:08.06,Meseret Defar ( ETH ),Sollentuna
2012,30:20.75,Tirunesh Dibaba ( ETH ),London
2011,30:38.35,Sally Kipyego ( KEN ),Palo Alto
2010,31:04.52,Meselech Melkamu ( ETH ),Ostrava
2009,29:53.80,Meselech Melkamu ( ETH ),Utrecht
2008,29:54.66,Tirunesh Dibaba ( ETH ),Beijing
2007,31:00.27,Mestawet Tufa ( ETH ),Valkenswaard
2006,30:21.67,Elvan Abeylegesse ( TUR ),Antalya
2005,30:15.67,Tirunesh Dibaba ( ETH ),Sollentuna
2004,30:17.15,Paula Radcliffe ( GBR ),Gateshead
2003,30:04.18,Berhane Adere ( ETH ),Paris
2002,30:01.09,Paula Radcliffe ( GBR ),Munich
2001,30:55.80,Paula Radcliffe ( GBR ),Barakaldo
2000,30:17.49,Derartu Tulu ( ETH ),Sydney
