Medal,Name,Sport,Event
Gold,Snežana Hrepevnik,Athletics,High Jump
Gold,Miljenko Rak,Athletics,Long Jump
Gold,Tomislav Šuker,Athletics,Shot Put
Gold,Miodrag Todosijević,Athletics,High Jump
Gold,Basketball team Petar Skansi Krešimir Ćosić Vladimir Cvetković Aljoša Žorga Rato Tvrdić Zoran Maroević Kosta Grubor Damir Šolman Ljubodrag Simonović Nikola Plećaš Goran Brajković Momčilo Pazmanj,Basketball,Men 's tournament
Gold,Zvonimir Vujin,Boxing,Lightweight
Gold,Miroslav Cerar,Gymnastics,Individual all-around
Gold,Miroslav Cerar,Gymnastics,Parallel bars
Gold,Miroslav Cerar,Gymnastics,Pommel horse
Gold,Handball team Boris Kostić Zoran Živković Josip Milković Hrvoje Horvat Ivan Uremović Albin Vidović Branislav Pokrajac Petar Fajfrić Nebojša Popović Milorad Karalić Slobodan Koprivica Miroslav Klišanin,Handball,Men 's tournament
Gold,Nenad Kuridža,Swimming,100m Butterfly
Gold,Volleyball team Zoran Petrović Mate Piljić Milovan Simić Miloš Grbić Nikola Miković Mladen Kos Vladimir Janković Adolf Urnaut Ljubomir Stojić Ljubomir Bojić Siniša Bakarac Miodrag Gvozdenović,Volleyball,Men 's tournament
Gold,Water polo team Karlo Stipanić Ivo Trumbić Ozren Bonačić Mirko Sandić Zoran Janković Vinko Rosić Đorđe Perišić Ronald Lopatni Radovan Miškov Uroš Marović Zdravko Hebl,Water polo,Men 's tournament
Gold,Stevan Horvat,Wrestling,Greco-Roman - 70kg
Gold,Branislav Simić,Wrestling,Greco-Roman - 87kg
Silver,Drago Žuntar,Athletics,5.000m
Silver,Marijan Gredelj,Athletics,Discus throw
Silver,Đurđa Fočić,Athletics,80m Hurdles
Silver,Đurđa Fočić,Athletics,High Jump
Silver,Đurđa Fočić,Athletics,Long Jump
