Event,Track,USAC,Races,Seasons
ABC Supply 500,Pocono Raceway,1971-1981,25,25
ABC Supply Wisconsin 250,Milwaukee Mile,1956-1979,115,73
Atlanta 100,Lakewood Speedway,1956-1958,12,6
Atlanta 500 Classic,Atlanta Motor Speedway,1965-1966 1978,14,11
Bavaria Champ Car Grand Prix,TT Circuit Assen,,1,1
Belgian Champ Car Grand Prix,Circuit Zolder,,1,1
Bobby Ball Memorial,Arizona State Fairgrounds,1956-1963,15,15
Brainerd 200,Brainerd International Raceway,1969,2,1
California 200,Hanford Motor Speedway,1967-1969,4,3
California 500,Ontario Motor Speedway,1970-1978,11,11
Caesars Palace Grand Prix,"Caesars Palace , Las Vegas",,2,2
Daily Express Indy Silverstone,Silverstone Circuit,1978,1,1
Dan Gurney 200,Pacific Raceways,1969,1,1
USAC Daytona 100,Daytona International Speedway,1959,1,1
Dayton 25,Dayton Speedway,1956*,1,1
Delphi Indy 200,Walt Disney World Speedway,,5,5
Phoenix 250,ISM Raceway,1964-1978,64,45
Detroit 100,Michigan State Fairgrounds Speedway,1957,6,6
Edmonton Indy,Edmonton City Centre Airport,,8,8
Firestone Indy 200,Nashville Superspeedway,,8,8
