Country,Province / State,City,Airport
Antigua and Barbuda,-,St. John 's,V. C. Bird International Airport
Aruba,,Oranjestad,Queen Beatrix International Airport
Bahamas,-,Nassau,Lynden Pindling International Airport
Barbados,-,Bridgetown,Grantley Adams International Airport
Belize,-,Belize City,Philip S. W. Goldson International Airport
Bermuda,-,Hamilton,L.F. Wade International Airport
Canada,Alberta,Calgary,Calgary International Airport
Canada,Alberta,Edmonton,Edmonton International Airport
Canada,British Columbia,Abbotsford,Abbotsford International Airport
Canada,British Columbia,Comox,CFB Comox
Canada,British Columbia,Kelowna,Kelowna International Airport
Canada,British Columbia,Prince George,Prince George Airport
Canada,British Columbia,Vancouver,Vancouver International Airport
Canada,British Columbia,Victoria,Victoria International Airport
Canada,Manitoba,Winnipeg,Winnipeg James Armstrong Richardson International Airport
Canada,Newfoundland and Labrador,Deer Lake / Corner Brook,Deer Lake Regional Airport
Canada,Newfoundland and Labrador,St. John 's,St. John 's International Airport
Canada,Nova Scotia,Halifax,Halifax Stanfield International Airport
Canada,Nova Scotia,Sydney,Sydney/J.A . Douglas McCurdy Airport
Canada,Ontario,Hamilton,John C. Munro Hamilton International Airport
