Medal,Name,Games,Sport,Event
Gold,Gillis Grafström,1924 Chamonix,Figure skating,Men 's singles
Silver,Sweden men 's national curling team Carl August Kronlund Carl Wilhelm Petersén Carl Axel Petterson Erik Severin Karl Wahlberg Victor Wetterström Johan Petter Åhlén Ture Ödlund,1924 Chamonix,Curling,Men 's competition
Gold,Per-Erik Hedlund,1928 St. Moritz,Cross-country skiing,Men 's 50 km
Gold,Gillis Grafström,1928 St. Moritz,Figure skating,Men 's singles
Silver,Gustaf Jonsson,1928 St. Moritz,Cross-country skiing,Men 's 50 km
Silver,Sweden men 's national ice hockey team Carl Abrahamsson Emil Bergman Birger Holmqvist Gustaf Johansson Henry Johansson Nils Johansson Ernst Karlberg Erik Larsson Bertil Linde Wilhelm Petersén Kurt Sucksdorff Sigfrid Öberg,1928 St. Moritz,Ice hockey,Men 's competition
Bronze,Volger Andersson,1928 St. Moritz,Cross-country skiing,Men 's 50 km
Gold,Sven Utterström,1932 Lake Placid,Cross-country skiing,Men 's 18 km
Silver,Axel Wikström,1932 Lake Placid,Cross-country skiing,Men 's 18 km
Silver,Gillis Grafström,1932 Lake Placid,Figure skating,Men 's singles
Gold,Erik August Larsson,1936 Garmisch-Partenkirchen,Cross-country skiing,Men 's 18 km
Gold,Elis Wiklund,1936 Garmisch-Partenkirchen,Cross-country skiing,Men 's 50 km
Silver,Axel Wikström,1936 Garmisch-Partenkirchen,Cross-country skiing,Men 's 50 km
Silver,Sven Eriksson,1936 Garmisch-Partenkirchen,Ski jumping,Large hill
Bronze,Nils-Joel Englund,1936 Garmisch-Partenkirchen,Cross-country skiing,Men 's 50 km
Bronze,John Berger Arthur Häggblad Erik August Larsson Martin Matsbo,1936 Garmisch-Partenkirchen,Cross-country skiing,Men 's 4 × 10 km relay
Bronze,Vivi-Anne Hultén,1936 Garmisch-Partenkirchen,Figure skating,Ladies ' singles
Gold,Martin Lundström,1948 St. Moritz,Cross-country skiing,Men 's 18 km
Gold,Nils Karlsson,1948 St. Moritz,Cross-country skiing,Men 's 50 km
Gold,Gunnar Eriksson Martin Lundström Nils Östensson Nils Täpp,1948 St. Moritz,Cross-country skiing,Men 's 4 × 10 km relay
