Order,Coach,Contestant,Contestant,Song
1,David Bisbal,Virginia Alexandre,Lola Dorado,Lady Marmalade
2,Rosario Flores,Jorge González,Damaris Martínez,What You 're Made of
3,Melendi,Tony Amboaje,Maika Barbero,I Do n't Want to Miss a Thing
4,Malú,Macarena Fernández,Pau Piqué,Somos Novios
5,Melendi,Paula Rojo,Yhadira García,Complicated
6,David Bisbal,Nieves Hidalgo,Sandra Arco,Torre de Arena
7,Rosario Flores,Mónica Guech,Nuria Martorell,Without You
8,Melendi,Eduardo Ruimán,Miguel Kocina,Torero
9,Malú,Nicky Triphook,Hector Roldán,Always
10,Rosario Flores,Anabella Arregui,Lorena Ruiz,Aprendiz
11,Malú,Manuela Paz,Núria Martínez,Firework
