Season,Player,School,Position,Class
1979-80,Calvin Garrett,Oral Roberts,F,Senior
1980-81,Darius Clemons,Loyola-Chicago,PG,Junior
1980-81,Rubin Jackson,Oklahoma City,F,Junior
1981-82,Wayne Sappleton,Loyola-Chicago,PF,Senior
1982-83,Mark Acres,Oral Roberts,C,Sophomore
1982-83,Alfredrick Hughes,Loyola-Chicago,SF,Sophomore
1983-84,Alfredrick Hughes ( 2 ),Loyola-Chicago,SF,Junior
1984-85,Alfredrick Hughes ( 3 ),Loyola-Chicago,SF,Senior
1985-86,Byron Larkin,Xavier,SG,Sophomore
1986-87,Andre Moore,Loyola-Chicago,PF,Senior
1987-88,Byron Larkin ( 2 ),Xavier,SG,Senior
1988-89,Scott Haffner,Evansville,PG,Senior
1989-90,Tyrone Hill,Xavier,PF,Senior
1990-91,Darin Archbold,Butler,SG,Junior
1991-92,Parrish Casebier,Evansville,PF,Sophomore
1992-93,Brian Grant,Xavier,PF / C,Junior
1993-94,Brian Grant ( 2 ),Xavier,PF / C,Senior
1994-95,Sherell Ford,UIC,F,Senior
1995-96,Jeff Nordgaard,Green Bay,SF,Senior
1996-97,Jon Neuhouser,Butler,PF,Junior
