Year,Film,Director
1958,H-8,Nikola Tanhofer
1959,Train Without a Timetable,Veljko Bulajić
1960,The Ninth Circle,France Štiglic
1963,Face to Face,Branko Bauer
1965,Prometheus of the Island,Vatroslav Mimica
1966,Monday or Tuesday,Vatroslav Mimica
1970,Handcuffs,Krsto Papić
1975,The House,Bogdan Žižić
1977,Do n't Lean Out the Window,Bogdan Žižić
1978,Occupation in 26 Pictures,Lordan Zafranović
1981,The Fall of Italy,Lordan Zafranović
1995,Washed Out,Zrinko Ogresta
1999,When the Dead Start Singing,Krsto Papić
