Film,Date of original release,Produced by
Tom and Jerry : The Movie,"July 30 , 1993",Turner Entertainment WMG Film Roman
The Thief and the Cobbler ( Arabian Knight ),"August 25 , 1995",Richard Williams Productions
How the Toys Saved Christmas,"October 21 , 1997",Alpha-Film Lanterna Magica Monipoly Productions
Princess Mononoke,"October 29 , 1999",Studio Ghibli
The Adventures of Tom Thumb and Thumbelina,"October 11 , 2002",Hyperion Pictures
Pokémon 4Ever,"October 11 , 2002",The Pokémon Company Shogakukan 4Kids Entertainment
Pokémon Heroes,"May 16 , 2003",The Pokémon Company Shogakukan 4Kids Entertainment
Bionicle : Mask of Light,"September 16 , 2003",The Lego Group Create TV & Film Creative Capers Entertainment
Bionicle 2 : Legends of Metru Nui,"October 19 , 2004",The Lego Group Create TV & Film Creative Capers Entertainment
In Search of Santa,"November 23 , 2004",Colorland Animation Tundra Productions
Bionicle 3 : Web of Shadows,"October 11 , 2005",Good Story Productions Create TV & Film Creative Capers Entertainment
Paris 2054 : Renaissance,"March 15 , 2006",Onyx Films Millimages LuxAnimation Timefirm Limited France 2 Cinéma
