Position,Name,School,ABCA,BA,CB
Pitcher,Jeff Alkire,Miami,Y,Y,Y
Pitcher,Lloyd Peever,LSU,Y,Y,Y
Pitcher,Pat Ahearne,Pepperdine,Y,Y,Y
Pitcher,Darren Dreifort ♦,Wichita State,Y,Y,Y
Pitcher,Jamie Wolkosky,NC State,Y,-,Y
Pitcher,Mike Romano,Tulane,-,Y,-
Pitcher,Javi DeJesus,Louisiana-Lafayette,-,-,Y
Catcher,Jason Varitek,Georgia Tech,Y,Y,Y
First baseman,Sean Shugars,UMBC,Y,-,-
First baseman,Doug Hecker,Tennessee,-,Y,-
First baseman,Scott Malone,TCU,-,-,Y
Second baseman,Brian Eldridge,Oklahoma,Y,Y,Y
Third baseman,Phil Nevin,Cal State Fullerton,Y,Y,-
Third baseman,Dan Kopriva,Louisville,-,-,Y
Shortstop,Craig Wilson,Kansas State,Y,Y,-
Shortstop,Mike Smith,Indiana,-,-,Y
Outfielder,Derek Hacopian,Maryland,Y,-,Y
Outfielder,Chad McConnell,Creighton,Y,Y,Y
Outfielder,Calvin Murray,Texas,Y,Y,-
Outfielder,Jeffrey Hammonds ( 2 ),Stanford,Y,Y,Y
