Time,Athlete,Nationality,Location of race,Date
15.0,Forrest Smithson,United States,London,25 July 1908
15.0,Harold Barron,United States,Antwerp,17 August 1920
15.0,Earl Thomson,Canada,Antwerp,17 August 1920
14.8,Earl Thomson,Canada,Antwerp,18 August 1920
14.8,Sten Pettersson,Sweden,Stockholm,18 September 1927
14.6,George Weightman-Smith,South Africa,Amsterdam,31 July 1928
14.4,Eric Wennström,Sweden,Stockholm,25 August 1929
14.4,Bengt Sjöstedt,Finland,Helsinki,5 September 1931
14.4,Percy Beard,United States,Cambridge,23 June 1932
14.4,Jack Keller,United States,Palo Alto,17 July 1932
14.4,George Saling,United States,Los Angeles,2 August 1932
14.4,John Morriss,United States,Budapest,12 August 1933
14.4,John Morriss,United States,Turin,8 September 1933
14.3,Percy Beard,United States,Stockholm,26 July 1934
14.2,Percy Beard,United States,Oslo,6 August 1934
14.2,Alvin Moreau,United States,Oslo,2 August 1935
14.1w,Forrest Towns,United States,Chicago,19 June 1936
14.1,Forrest Towns,United States,Berlin,6 August 1936
13.7,Forrest Towns,United States,Oslo,27 August 1936
13.7,Fred Wolcott,United States,Philadelphia,29 June 1941
