Date,Meet,Stadium,City,Country
14 May,Qatar Athletic Super Grand Prix,Qatar SC Stadium,Doha,Qatar
23 May,Shanghai Golden Grand Prix,Shanghai Stadium,Shanghai,China
4 June,Bislett Games,Bislett Stadion,Oslo,Norway
10 June,Golden Gala,Stadio Olimpico,Rome,Italy
12 June,Adidas Grand Prix,Icahn Stadium,New York City,United States
3 July,Prefontaine Classic,Hayward Field,Eugene,United States
8 July,Athletissima,Stade Olympique de la Pontaise,Lausanne,Switzerland
10 July,British Grand Prix,Gateshead International Stadium,Gateshead,United Kingdom
16 July,Meeting Areva,Stade de France,Paris,France
22 July,Herculis,Stade Louis II,Fontvieille,Monaco
6 August,DN Galan,Stockholm Olympic Stadium,Stockholm,Sweden
13-14 August,London Grand Prix,Crystal Palace,London,United Kingdom
19 August,Weltklasse Zürich,Letzigrund,Zürich,Switzerland
27 August,Memorial van Damme,King Baudouin Stadium,Brussels,Belgium
