Season,Coach,School,Year with school,Record
1965,Bo Schembechler,Miami,3rd,7-3 ( 5-1 )
1966,Bill Doolittle,Western Michigan,3rd,7-3 ( 5-1 )
1967,Frank Lauterbur,Toledo,5th,9-1 ( 5-1 )
1968,Bill Hess,Ohio,11th,10-1 ( 6-0 )
1969,Frank Lauterbur ( 2 ),Toledo,7th,11-0 ( 5-0 )
1970,Frank Lauterbur ( 3 ),Toledo,8th,12-0 ( 5-0 )
1971,John Murphy,Toledo,1st,12-0 ( 5-0 )
1972,Don James,Kent State,1st,6-5 ( 4-1 )
1973,Bill Mallory,Miami,5th,11-0 ( 5-0 )
1974,Dick Crum,Miami,1st,10-0-1 ( 5-0 )
1975,Dave McClain,Ball State,1st,9-2 ( 4-2 )
1976,Elliot Uzelac,Western Michigan,2nd,7-4 ( 6-3 )
1977,Ed Chlebek,Eastern Michigan,2nd,8-3 ( 4-3 )
1978,Dwight Wallace,Ball State,1st,10-1 ( 8-0 )
1979,Chuck Stobart,Toledo,3rd,7-3-1 ( 7-1-1 )
1980,Herb Deromedi,Central Michigan,3rd,9-2 ( 7-2 )
1981,Chuck Stobart ( 2 ),Toledo,5th,9-3 ( 8-1 )
1982,Denny Stolz,Bowling Green,6th,7-5 ( 7-2 )
1983,Bill Mallory ( 2 ),Northern Illinois,3rd,10-2 ( 8-1 )
1984,Dan Simrell,Toledo,3rd,9-2-1 ( 7-1-1 )
