Year,Title,Role
1984,Amadeus,Emanuel Schikaneder / Papageno
1985,The Good Father,Mark Varda
1985,A Room with a View,The Reverend Mr. Beebe
1987,Maurice,Mr. Ducie
1981,Manifesto,Police Chief
1990,Postcards from the Edge,Simon Asquith
1990,Mr. & Mrs. Bridge,Dr. Alex Sauer
1991,The Ballad of the Sad Cafe,
1991,Howards End,Music and Meaning Lecturer
1992,Soft Top Hard Shoulder,Eddie Cherdowski
1994,Four Weddings and a Funeral,Gareth
1994,Street Fighter,A.N . Official
1995,"England , My England",Charles II
1995,Victory,Zangiacomo
1995,Jefferson in Paris,Richard Cosway
1995,Ace Ventura : When Nature Calls,Vincent Cadby
1996,James and the Giant Peach,Mr. Grasshopper
1998,The Scarlet Tunic,Captain Fairfax
1998,Bedrooms and Hallways,Keith
1998,Shakespeare in Love,Sir Edmund Tilney
