Season,Player,School,Class
1999-00,Sue Bird,Connecticut,Sophomore
2000-01,Sue Bird ( 2 ),Connecticut,Junior
2001-02,Sue Bird * ( 3 ),Connecticut,Senior
2002-03,Diana Taurasi *,Connecticut,Junior
2003-04,Diana Taurasi * ( 2 ),Connecticut,Senior
2004-05,Temeka Johnson,LSU,Senior
2005-06,Ivory Latta,North Carolina,Junior
2006-07,Lindsey Harding *,Duke,Senior
2007-08,Kristi Toliver,Maryland,Junior
2008-09,Renee Montgomery,Connecticut,Senior
2009-10,Andrea Riley,Oklahoma State,Senior
2010-11,Courtney Vandersloot,Gonzaga,Senior
2011-12,Skylar Diggins,Notre Dame,Junior
2012-13,Skylar Diggins ( 2 ),Notre Dame,Senior
2013-14,Odyssey Sims *,Baylor,Senior
2014-15,Moriah Jefferson,Connecticut,Junior
2015-16,Moriah Jefferson ( 2 ),Connecticut,Senior
2016-17,Kelsey Plum *,Washington,Senior
2017-18,Sabrina Ionescu,Oregon,Sophomore
2018-19,Sabrina Ionescu * ( 2 ),Oregon,Junior
