Aalesund,Brann,Fredrikstad,Haugesund
Color Line Stadion,Brann Stadion,Fredrikstad Stadion,Haugesund Stadion
"Capacity : 10,778","Capacity : 17,824","Capacity : 13,300","Capacity : 5,000"
Hønefoss,Lillestrøm,Molde,Odd Grenland
Aka Arena,Åråsen Stadion,Aker Stadion,Skagerak Arena
"Capacity : 4,000","Capacity : 11,637","Capacity : 11,800","Capacity : 13,500"
Rosenborg,Sandnes Ulf,Sogndal,Stabæk
Lerkendal Stadion,Sandnes Idrettspark,Fosshaugane Campus,Nadderud Stadion
"Capacity : 21,850","Capacity : 3,850","Capacity : 5,402","Capacity : 7,000"
Strømsgodset,Tromsø,Vålerenga,Viking
Marienlyst Stadion,Alfheim Stadion,Ullevaal Stadion,Viking Stadion
"Capacity : 7,500","Capacity : 7,500","Capacity : 25,572","Capacity : 16,600"
