Date,Sport,Venue/Event,Status,Winner/s
1,Motorcycle racing,2014 Italian motorcycle Grand Prix,International,MotoGP : Marc Márquez ( Repsol Honda ) Moto2 : Esteve Rabat ( Marc VDS Racing Team ) Moto3 : Romano Fenati ( Sky Racing Team by VR46 )
2-20,Rugby union,2014 IRB Junior World Championship,International,England
3-8,Beach volleyball,2014 European Beach Volleyball Championships,Continental,Men : Paolo Nicolai and Daniele Lupo Women : Madelein Meppelink and Marleen van Iersel
5,Athletics,Golden Gala - Pietro Mennea,International,Kenya and the United States won 3 gold medals each
5-7,Baseball,2014 Major League Baseball Draft,Continental,"# 1 pick : Brady Aiken , Cathedral Catholic High School , ( Houston Astros )"
5-8,3x3 Basketball,2014 FIBA 3x3 World Championships,International,Men : Qatar Women : United States
7,Horse racing,2014 Belmont Stakes,Domestic,Tonalist ( jockey : Joel Rosario ; trainer : Christophe Clement )
7-14,Fencing,2014 European Fencing Championships,Continental,Italy
8,Formula One,2014 Canadian Grand Prix,International,Daniel Ricciardo ( Red Bull Racing )
8,WTCC,2014 FIA WTCC Race of Russia,International,José María López ( Citroën ) Ma Qinghua ( Citroën )
8-17,Ice hockey,/ 2014 Calder Cup Finals,Continental,Texas Stars
10-15,Rhythmic gymnastics,2014 Rhythmic Gymnastics European Championships,Continental,Individual overall : Yana Kudryavtseva Group overall : Russia
11,Athletics,Bislett Games,International,United States
4-13,Ice hockey,/ 2014 Stanley Cup Finals,Regional,Los Angeles Kings
12-15,Golf,2014 U.S. Open,International,Martin Kaymer
12-13 July,Association football,2014 FIFA World Cup,International,Germany
14,Athletics,Adidas Grand Prix,International,United States
15,Motorcycle racing,2014 Catalan motorcycle Grand Prix,International,MotoGP : Marc Márquez ( Repsol Honda ) Moto2 : Esteve Rabat ( Marc VDS Racing Team ) Moto3 : Álex Márquez ( Honda )
19-22,Golf,2014 U.S. Women 's Open,International,Michelle Wie
20-22,Rowing,2014 Henley Women 's Regatta,International,Friday 's Results Saturday 's Results Sunday 's Results
