Year,Title,Role
1978,A Death in Canaan,Carla Pitts
1980,Die Laughing,Judge
1982,Deadly Drifter,Nixie / Dinah
1982,Shoot the Moon,Counter Girl
1983,The Right Stuff,Pretty Girl
1988,Married to the Mob,Phyllis
1988,Miracle Mile,Waitress
1988,Wildfire,Mrs. Johnson
1989,Lonesome Dove,Sally Skull
1989,How I Got into College,Sally O'Connor
1990,Edward Scissorhands,Esmeralda
1990,Pacific Heights,Hotel Maid
1992,Seinfeld,Waitress
1993,Shelf Life,Tina
1993-1994,Harts of the West,Rose McLaughlin
1994,Natural Born Killers,Mabel
1996,The X-Files,Rebecca Waite
1996,Mars Attacks !,Sue-Ann Norris
1998,The Truman Show,Bar Waitress
2000,American Virgin,Kim
