Year,Athlete,Country,Gender,Event,Mark
1934,Matti Järvinen,Finland,Men,Javelin throw,76.66 m
1938,Claudia Testoni,Italy,Women,80 m hurdles,11.6 sec
1954,Vladimir Kuts,Soviet Union,Men,5000 metres,13:56.6 min
1954,Sándor Rozsnyói,Hungary,Men,3000 m steeplechase,8:49.6 min
1954,Mikhail Krivonosov,Soviet Union,Men,Hammer throw,63.34 m
1958,Sergei Popov,Soviet Union,Men,Marathon,2:15:17 hrs
1962,Salvatore Morale,Italy,Men,400 m hurdles,49.2 sec
1962,Maria Itkina,Soviet Union,Women,400 metres,53.4 sec
1962,Tamara Press,Soviet Union,Women,Shot put,18.55 m
1969,Nicole Duclos,France,Women,400 metres,51.7 sec ( 51.72 )
1969,Colette Besson,France,Women,400 metres,51.7 sec ( 51.74 )
1969,Jaroslava Jehličková,Czechoslovakia,Women,1500 metres,4:10.77 min
1969,Rosemary Stirling Pat Lowe Janet Simpson Lillian Board,Great Britain,Women,4×400 metres relay,3:30.8 min ( 3:30.82 )
1969,Bernadette Martin Nicole Duclos Eliane Jacq Colette Besson,France,Women,4×400 metres relay,3:30.8 min ( 3:30.85 )
1969,Nadezhda Chizhova,Soviet Union,Women,Shot put,20.10 m
1969,Nadezhda Chizhova,Soviet Union,Women,Shot put,20.43 m
1971,Karin Burneleit,East Germany,Women,1500 metres,4:09.62 min
1971,Rita Kühne Ingelore Lohse Helga Seidler Monika Zehrt,East Germany,Women,4×400 metres relay,3:29.3 min
1971,Faina Melnik,Soviet Union,Men,Discus throw,64.22 m
1974,Riitta Salin,Finland,Women,400 metres,50.14 sec
