Name,M,G,Degree,Notes
Alan Aldous,1942,1948,BA English ( 2nd ),Headmaster of Leeds Grammar School ( 1970-1975 )
Edward Barnwell,1830,1834,BA Mathematics ( 1st ),"Headmaster of Ruthin School ( 1839-1865 ) , succeeding Charles Williams"
Edmund Brice,1648,1650,BA,"Translator and schoolmaster , and follower of the Christian mystic John Pordage"
John Caldicott,-,1851,"BA Literae Humaniores ( 2nd , 1851 ) , BA Mathematics ( 3rd , 1851 ) , BD and DD ( 1874 )",Matriculated from Pembroke College ; Anglican priest and headmaster of Bristol Grammar School
J. R. Cohu ( F ),1876,1880,"BA Literae Humaniores ( 1st , 1880 ) , MA ( 1883 )","Headmaster , clergyman and writer on biblical topics"
William Weekes Fowler,-,1873,BA,"Matriculated at New College before transferring to Jesus with a scholarship ; a clergyman , headmaster ( of Lincoln School ) and entomologist who was President of the Incorporated Association of Head Masters and President of the Entomological Society of London"
Daniel Harper ( F/P ),1840,1844,BA Mathematics ( 1st ),Headmaster of Cowbridge Grammar School ( 1847-1850 ) and Sherborne School ( 1851-1877 )
John Haycraft,1948,1951,BA Modern History ( 2nd ),English language teacher and founder of International House World Organisation
Herbert Armitage James,1863,-,-,"Transferred to Lincoln College when he won a scholarship in 1864 ; later headmaster of Rugby School and President of St John 's College , Oxford"
Robert James,1924,1928,BA Literae Humaniores ( 1st ),"Son of Henry James , Dean of Bangor ; High Master of St Paul 's School ( 1946-1953 ) and Headmaster of Harrow School ( 1953-1971 )"
Harold Littler,1907 ?,1910,BA Modern History ( 2nd ),"Anglican priest and headmaster of Sir William Turner 's School , Coatham"
Daniel Lewis Lloyd,1862,1867,"BA Literae Humaniores ( 2nd ) ( 1867 ) , MA ( 1871 )","Headmaster of Dolgelley Grammar School , Friars School , Bangor and Christ College , Brecon ; later Bishop of Bangor"
Edward Owen,1746,1752,"BA ( 1749 ) , MA ( 1752 )","Welsh priest and translator , who was headmaster of the grammar school in Warrington"
Owen Owen,1873,1877,BA Literae Humaniores ( 3rd ),Headmaster in Oswestry who became the first Chief Inspector of the Central Welsh Board for Intermediate Education
Morgan Phillips,1907 ?,1911,?,Headmaster of Ruthin School ( 1930-1935 )
Owen Price,1649,-,-,"Graduated from Christ Church , Oxford ; Master of Magdalen College School , Oxford and writer of educational books"
Ernest Salter Davies,1891,1895,BA Literae Humaniores,Director of Education for Kent for 20 years and writer on educational matters
Thomas Thomas,1824,1827,BA,Welsh cleric ( Thomas of Caernarfon ) who helped to found schools in Caernarfon ; the father of Llewellyn Thomas
James Vincent,1735,1739,BA,"Welsh cleric and schoolteacher , who was Master of the Friars School , Bangor ; grandfather of James Vincent , who also attended the college"
Charles Williams ( F/P ),1823,1827,BA Literae Humaniores ( 1st ),"Headmaster of Ruthin School ( 1831-1839 ) , Principal ( 1857-1877 )"
