Rank,Name,Nation,TFP,SP,FS
1,Dmitri Dmitrenko,Ukraine,2.0,2,1
2,Ivan Dinev,Bulgaria,2.5,1,2
3,Szabolcs Vidrai,Hungary,4.5,3,3
4,Sergei Davydov,Russia,6.5,5,4
5,Patrick Meier,Switzerland,8.5,7,5
6,Robert Grzegorczyk,Poland,9.0,4,7
7,Yevgeny Martynov,Ukraine,10.5,9,6
8,Margus Hernits,Estonia,11.0,6,8
9,Roman Skorniakov,Uzbekistan,14.0,10,9
10,Sergei Rylov,Azerbaijan,15.0,10,10
11,Cornel Gheorghe,Romania,17.0,8,13
12,Anton Klykov,Russia,17.5,13,11
13,Neil Wilson,United Kingdom,18.0,12,12
14,Yuri Litvinov,Kazakhstan,21.0,14,14
WD,Johnny Rønne Jensen,Denmark,,15,
