Name,Position,Signed from,Date,Contract Length
Ben Cross,Prop,Wigan Warriors,July 2011,1 Year
Hep Cahill,Second Row,Crusaders RL,July 2011,3 Years
Shaun Briscoe,Fullback,Hull Kingston Rovers,July 2011,2 Years
Patrick Ah Van,Winger,Bradford Bulls,August 2011,2 Years
Ben Davies,Prop,Wigan Warriors,August 2011,2 Years
Lloyd White,Stand Off,Crusaders RL,August 2011,3 Years
Rhys Hanbury,Half-back,Crusaders RL,August 2011,3 Years
Chris Dean,Centre,Wakefield Trinity Wildcats,August 2011,2 Years
Frank Winterstein,Second Row,Crusaders RL,August 2011,2 Years
Willie Isa,Centre,Castleford Tigers,September 2011,2 Years
Scott Moore,Hooker,St Helens R.F.C,October 2011,3 Years
Cameron Phelps,Fullback,Free Agent,January 2012,2 Years
Sione Kite,Prop forward,Melbourne Storm,January 2012,2 Years
