Character,Actor,First appearance,Last appearance,Duration,Episodes
Trigger,Roger Lloyd-Pack ( Lewis Osbourne in Rock & Chips ),Big Brother,Sleepless in Peckham,1981-2003,39
Boycie,John Challis ( Stephen Lloyd in Rock & Chips ),Go West Young Man,Sleepless in Peckham,1981-2009,33
Denzil,Paul Barber ( Ashley Gerlach in Rock & Chips ),Who 's a Pretty Boy ?,Sleepless in Peckham,1983-2003,18
Slater,Jim Broadbent ( Callum McNab in Rock & Chips ),May The Force Be With You,The Class of '62,"1983 , 1985 , 1991",3
Marlene Boyce,Sue Holderness,Sleeping Dogs Lie,Sleepless in Peckham,1985-2009,20
Mike,Kenneth MacDonald,Who 's a Pretty Boy ?,Time On Our Hands,1983-1996,30
Mickey Pearce,Patrick Murray,Healthy Competition,Sleepless in Peckham,1983-2003,20
Sid,Roy Heather,The Long Legs of the Law,Sleepless in Peckham,"1982 , 1985-2003",13
Alan Parry,Denis Lill,Little Problems,Mother Natures Son,1989-1992,8
Damien,Various,"Three Men , a Woman and a Baby",Sleepless in Peckham,1991-2003,10
