Team,Location,Stadium,Capacity
Canisius Golden Griffins,"Buffalo , New York",Demske Sports Complex,"1,200"
Fairfield Stags,"Fairfield , Connecticut",Lessing Field,600
Iona Gaels,"New Rochelle , New York",Mazzella Field,"2,440"
Manhattan Jaspers,"Riverdale , New York",Gaelic Park,"2,000"
Marist Red Foxes,"Poughkeepsie , New York",Tenney Stadium,"5,000"
Monmouth Hawks,"West Long Branch , New Jersey",The Great Lawn,N/A
Niagara Purple Eagles,"Lewiston , New York",Niagara Field,"1,200"
Quinnipiac Bobcats,"Hamden , Connecticut",Quinnipiac Soccer Field,N/A
Rider Broncs,"Lawrenceville , New Jersey",Rider Campus Soccer Field,"1,000"
Saint Peter 's Peacocks,"Jersey City , New Jersey",Joseph J. Jaroschak Field,N/A
Siena Saints,"Loudonville , New York",Siena Turf Field,"1,000"
