Title,Publisher,Developer ( s ),Release Date,ESRB
Balloon Fight,Nintendo,Nintendo R & D1,"January 23 , 2013",E
Punch-Out ! !,Nintendo,Nintendo R & D3,"March 20 , 2013",E
Kirby 's Adventure,Nintendo,HAL Laboratory,"April 17 , 2013",E
Donkey Kong Jr,Nintendo,Nintendo,"April 26 , 2013",E
Excitebike,Nintendo,Nintendo R & D1,"April 26 , 2013",E
Ice Climber,Nintendo,Nintendo R & D1,"April 26 , 2013",E
Mega Man,Capcom,Capcom,"May 2 , 2013",E
Pac-Man,Bandai Namco Entertainment,Bandai Namco Entertainment,"May 2 , 2013",E
Solomon 's Key,Koei Tecmo,Tecmo,"May 9 , 2013",E
Xevious,Bandai Namco Entertainment,Namco,"May 9 , 2013",E
Super Mario Bros. 2,Nintendo,Nintendo EAD,"May 16 , 2013",E
Ghosts ' n Goblins,Capcom,Micronics,"May 30 , 2013",E
Spelunker,Tozai,"Tose , Tamtex","June 6 , 2013",E
Mega Man 2,Capcom,Capcom,"June 11 , 2013",E
Mega Man 3,Capcom,Capcom,"June 11 , 2013",E
Mega Man 4,Capcom,Capcom,"June 11 , 2013",E
Yoshi,Nintendo,Game Freak,"June 12 , 2013",E
Mario Bros,Nintendo,Nintendo,"June 20 , 2013",E
Wrecking Crew,Nintendo,Nintendo R & D1,"June 20 , 2013",E
Metroid,Nintendo,Nintendo R & D1,"July 11 , 2013",E
