#,Name,First Year,Last Year,Description
1,John McClintock,1867,1870,"professor of practical theology , editor of Methodist Quarterly Review , and co-founder of the Theological Seminary"
2,Randolph Sinks Foster,1870,1873,"professor of systematic theology , and after Drew presidency became a Methodist bishop in Cincinnati , Ohio"
3,John Fletcher Hurst,1873,1880,"professor of historic theology , and after Drew presidency became a Methodist bishop in Des Moines , Iowa"
4,Henry Anson Buttz,1880,1912,"professor of Greek and New Testament exegesis for 50 years , and led Drew through a major expansion"
5,Ezra Squier Tipple,1912,1929,"professor of practical theology , admitted women to Drew on a limited basis , and oversaw founding of the CLA"
6,Arlo Ayres Brown,1929,1948,"led Drew through World War II , and oversaw major changes in degree programs , student body , and campus design"
7,Fred Garrigus Holloway,1948,1960,"oversaw the founding of the Graduate School , and after Drew presidency became a Methodist bishop in West Virginia"
8,Robert Fisher Oxnam,1961,1974,led Drew through a major expansion of the student body and the turbulent social changes of the 1960s
9,Paul Hardin,1975,1988,"oversaw the founding of the Methodist Archives Center , the RISE program and Drew 's computer initiative"
10,Thomas H. Kean,1990,2005,"former Governor of New Jersey who oversaw a major expansion of the Drew 's endowment , and led the 9-11 Commission"
11,Robert Weisbuch,2005,2012,former president of the Woodrow Wilson National Fellowship Foundation who made admission to Drew SAT-optional
12,MaryAnn Baenninger,2014,Present,"former president of the College of St. Benedict in Minnesota , and psychology professor , to assume presidency on 21 July 2014"
