Medal,Name,Games,Sport,Event
Gold,Vassiliy Jirov,1996 Atlanta,Boxing,Men 's light-heavyweight
Gold,Alexander Parygin,1996 Atlanta,Modern pentathlon,Men 's individual
Gold,Yuriy Melnichenko,1996 Atlanta,Wrestling,Men 's Greco-Roman 57 kg
Silver,Bulat Zhumadilov,1996 Atlanta,Boxing,Men 's flyweight
Silver,Sergey Belyayev,1996 Atlanta,Shooting,Men 's 50 metre rifle prone
Silver,Sergey Belyayev,1996 Atlanta,Shooting,Men 's 50 metre rifle three positions
Silver,Anatoly Khrapaty,1996 Atlanta,Weightlifting,Men 's 99 kg
Bronze,Bulat Niyazymbetov,1996 Atlanta,Boxing,Men 's light-welterweight
Bronze,Yermakhan Ibraimov,1996 Atlanta,Boxing,Men 's light-middleweight
Bronze,Vladimir Vokhmyanin,1996 Atlanta,Shooting,Men 's 25 metre rapid fire pistol
Bronze,Maulen Mamyrov,1996 Atlanta,Wrestling,Men 's freestyle 52 kg
Gold,Olga Shishigina,2000 Sydney,Athletics,Women 's 100 metres hurdles
Gold,Bekzat Sattarkhanov,2000 Sydney,Boxing,Men 's featherweight
Gold,Yermakhan Ibraimov,2000 Sydney,Boxing,Men 's light-middleweight
Silver,Bulat Zhumadilov,2000 Sydney,Boxing,Men 's flyweight
Silver,Mukhtarkhan Dildabekov,2000 Sydney,Boxing,Men 's super heavyweight
Silver,Alexander Vinokourov,2000 Sydney,Cycling,Men 's road race
Silver,Islam Bairamukov,2000 Sydney,Wrestling,Men 's freestyle 97 kg
Gold,Bakhtiyar Artayev,2004 Athens,Boxing,Men 's welterweight
Silver,Gennady Golovkin,2004 Athens,Boxing,Men 's middleweight
