Rank,Metropolitan area,Federative Entity,2015 Pop,2010 Pop,Change
1,Greater Mexico City,"Mexico City , Mexico , Hidalgo","21,339,781","20,501,764",+4.09%
2,Greater Guadalajara,Jalisco,"4,796,603","4,434,878",+8.16%
3,Greater Monterrey,Nuevo León,"4,475,949","4,106,054",+9.01%
4,Greater Puebla,"Puebla , Tlaxcala","2,941,988","2,728,790",+7.81%
5,Greater Toluca,Mexico,"2,116,506","1,936,126",+9.32%
6,Greater Tijuana,Baja California,"1,840,710","1,751,302",+5.11%
7,Greater León,Guanajuato,"1,768,193","1,609,717",+9.84%
8,Greater Juárez,Chihuahua,"1,391,180","1,332,131",+4.43%
9,Greater Torreón,"Coahuila , Durango","1,283,835","1,215,817",+5.59%
10,Greater Querétaro,"Querétaro , Guanajuato","1,255,185","1,097,025",+14.42%
11,Greater San Luis Potosí,San Luis Potosí,"1,133,571","1,040,822",+8.91%
12,Greater Mérida,Yucatán,"1,058,764","973,046",+8.81%
13,Greater Aguascalientes,Aguascalientes,"1,044,049","932,298",+11.99%
14,Greater Mexicali,Baja California,"988,417","936,145",+5.58%
15,Greater Cuernavaca,Morelos,"983,365","924,964",+6.31%
16,Greater Saltillo,Coahuila,"923,636","823,128",+12.21%
17,Greater Chihuahua,Chihuahua,"918,339","852,533",+7.72%
18,Greater Tampico,"Tamaulipas , Veracruz","916,854","859,419",+6.68%
19,Greater Morelia,Michoacán,"911,960","829,625",+9.92%
23,Culiacán - Greater Culiacán,Sinaloa,"905,660","850,000",+6.55%
