Title ( s ),Developer,Publisher,NA release,EU release
Classic Compendium,AI Factory,Gizmondo Games,"October 22 , 2005","August 9 , 2005"
Classic Compendium 2,AI Factory,Gizmondo Games,"October 22 , 2005","October 14 , 2005"
Fathammer Classics Pack,Fathammer / Ninai Games / Vasara Games,Gizmondo Studios,N/A,"March 19 , 2005"
FIFA Soccer 2005,Exient Entertainment / Electronic Arts Canada,Gizmondo Games,N/A,"September 15 , 2005"
Gizmondo Motocross 2005,Housemarque,Fathammer,"October 22 , 2005","April 20 , 2005"
Hockey Rage 2005,Chairman & Board,Fathammer,N/A,"April 26 , 2005"
Interstellar Flames 2,Xen Games,Gizmondo Studios,N/A,"September 30 , 2005"
Pocket Ping Pong 2005,Netdol,Fathammer,N/A,"May 18 , 2005"
Point of Destruction,Gizmondo Studios Manchester,Gizmondo Studios,"October 22 , 2005","August 5 , 2005"
Richard Burns Rally,Gizmondo Studios Manchester,Gizmondo Eur Ltd,"October 22 , 2005","July 11 , 2005"
SSX 3,Exient Entertainment / EA,Gizmondo Games,N/A,"August 31 , 2005"
Sticky Balls,Gizmondo Studios Manchester,Gizmondo Games,"October 22 , 2005","May 24 , 2005"
Toy Golf,Ninai Games,Fathammer,"October 22 , 2005","May 4 , 2005"
Trailblazer,Gizmondo Studios Manchester,Gizmondo Eur Ltd,"October 22 , 2005","March 19 , 2005"
