Nation,Governing body,Member since
Afghanistan,Afghanistan Cricket Board,22 June 2017
Australia,Cricket Australia,15 July 1909
Bangladesh,Bangladesh Cricket Board,26 June 2000
England,England and Wales Cricket Board,15 July 1909
India,Board of Control for Cricket in India,31 May 1926
Ireland,Cricket Ireland,22 June 2017
New Zealand,New Zealand Cricket,31 May 1926
Pakistan,Pakistan Cricket Board,28 July 1953
South Africa,Cricket South Africa,15 July 1909
Sri Lanka,Sri Lanka Cricket,21 July 1981
West Indies,Cricket West Indies,31 May 1926
Zimbabwe,Zimbabwe Cricket,6 July 1992
