Club,City / Town,Position in 2018-19
Botswana Defence Force XI,Gaborone,5th
Botswana Railways Highlanders,Mahalapye,11th
Extension Gunners,Lobatse,10th
Gaborone United,Gaborone,6th
Gilport Lions,Lobatse,Promoted
Jwaneng Galaxy,Jwaneng,2nd
Miscellaneous,Serowe,9th
Morupule Wanderers FC,Palapye,Promoted
Notwane,Gaborone,12th
Orapa United,Orapa,3rd
Police XI,Otse,4th
Prisons XI,Gaborone,13th
Security Systems,Otse,7th
Sharps Shooting Stars,Gaborone,8th
TAFIC FC,Francistown,Promoted
Township Rollers,Gaborone,1st
