SPANISH LOANWORD,ORIGIN,FILIPINO LANGUAGE,ENGLISH EQUIVALENT
abacá,Old Tagalog : abacá,abaká,abaca
baguio,Old Tagalog : baguio,bagyo,typhoon or hurricane
barangay,Old Tagalog : balan͠gay,baranggay,barangay
bolo,Old Tagalog : bolo,bolo,bolo
carabao,Old Visayan : carabáo,kalabáw,carabao
caracoa,Old Malay : coracora,karakaw,"caracoa , a war canoe"
cogón,Old Tagalog : cogón,kogón,cogon
dalaga,Old Tagalog : dalaga,dalaga,"single , young woman"
gumamela,Old Tagalog : gumamela,gumamela,Chinese hibiscus
nipa,Old Malay : nipah,nipa,nipa palm
paipay,Old Tagalog : paypay or pay-pay,pamaypay,a type of fan
palay,Old Tagalog : palay,palay,unhusked rice
pantalán,Old Tagalog : pantalán,pantalán,wooden pier
salisipan,Old Tagalog : salicipan,salisipan,"salisipan , a pirate ship"
sampaguita,Old Tagalog : sampaga,sampaguita,jasmine
sawali,Old Tagalog : sauali,sawali,"sawali , a woven bamboo mat"
tuba,Old Tagalog : tuba,tuba,palm wine
yoyó,Old Chinese,yo-yó,Chinese yo-yo
