Medal,Name,Sport,Event
Gold,Goran Maksimović,Shooting,Men 's Air Rifle
Gold,Jasna Šekarić,Shooting,Women 's Air Pistol
Gold,Dragan Andrić Mislav Bezmalinović Perica Bukić Veselin Đuho Igor Gočanin Deni Lušić Igor Milanović Tomislav Paškvalin Renco Posinković Goran Rađenović Dubravko Šimenc Aleksandar Šoštar Mirko Vičević,Water Polo,Men 's Team Competition
Silver,Šaban Trstena,Wrestling,Men 's Freestyle Flyweight ( 52 kg )
Silver,Ilija Lupulesku Zoran Primorac,Table Tennis,Men 's Doubles
Silver,Anđelija Arbutina Vesna Bajkuša Polona Dornik Slađana Golić Kornelija Kvesić Mara Lakić Žana Lelas Bojana Milošević Razija Mujanović Danira Nakić Stojna Vangelovska Eleonora Wild,Basketball,Women 's Team Competition
Silver,Franjo Arapović Zoran Čutura Danko Cvjetičanin Vlade Divac Toni Kukoč Željko Obradović Žarko Paspalj Dražen Petrović Dino Rađa Zdravko Radulović Stojko Vranković Jurij Zdovc,Basketball,Men 's Team Competition
Bronze,Damir Škaro,Boxing,Men 's Light Heavyweight
Bronze,Sadik Mujkić Bojan Prešern,Rowing,Men 's Coxless Pairs
Bronze,Jasna Šekarić,Shooting,Women 's Sport Pistol
Bronze,Gordana Perkučin Jasna Fazlić,Table Tennis,Women 's Doubles
Bronze,Mirko Bašić Jožef Holpert Boris Jarak Slobodan Kuzmanovski Muhamed Memić Alvaro Načinović Goran Perkovac Zlatko Portner Iztok Puc Rolando Pušnik Momir Rnić Zlatko Saračević Irfan Smajlagić Ermin Velić Veselin Vujović,Handball,Men 's Team Competition
