Team,Arena,Home Games,Average Attendance,Total Attendance,Capacity Percentage
Chicago Blackhawks,United Center,41,"22,623","927,545",117.6%
Detroit Red Wings,Joe Louis Arena,41,"22,149","908,131",110.4%
Montreal Canadiens,Bell Centre,41,"21,273","872,193",100.0%
Philadelphia Flyers,Wells Fargo Center,41,"19,839","813,411",101.5%
Vancouver Canucks,Rogers Arena,41,"19,770","810,594",107.2%
Toronto Maple Leafs,Air Canada Centre,41,"19,446","797,310",103.3%
Calgary Flames,Scotiabank Saddledome,41,"19,302","791,389",100.1%
Los Angeles Kings,Staples Center,41,"19,017","779,734",107.6%
Pittsburgh Penguins,Consol Energy Center,41,"18,618","763,344",101.3%
Tampa Bay Lightning,Tampa Bay Times Forum,41,"18,612","763,096",96.9%
Buffalo Sabres,First Niagara Center,41,"18,579","761,767",97.4%
Minnesota Wild,Xcel Energy Center,41,"18,505","758,729",103.1%
Ottawa Senators,Canadian Tire Centre,41,"18,108","742,468",94.5%
Washington Capitals,Verizon Center,41,"18,054","740,240",97.6%
New York Rangers,Madison Square Garden,41,"18,006","738,246",100.0%
Boston Bruins,TD Garden,41,"17,565","720,165",100.0%
San Jose Sharks,SAP Center at San Jose,41,"17,133","702,480",97.6%
St. Louis Blues,Scottrade Center,41,"17,025","698,059",88.9%
Edmonton Oilers,Rexall Place,41,"16,828","689,949",99.9%
Nashville Predators,Bridgestone Arena,41,"16,600","680,619",97.0%
