Name,Chartered,Institution,Location
Upsilon Alpha,"April 30 , 2006",High Point University,"High Point , North Carolina"
Upsilon Beta,,University of Virginia 's College at Wise,"Wise , Virginia"
Upsilon Gamma,"April 22 , 2007","California State University , San Bernardino","San Bernardino , California"
Upsilon Delta,,Dickinson College,Pennsylvania
Upsilon Epsilon,2007,University of Texas at Tyler,"Tyler , Texas"
Upsilon Zeta,"April 28 , 2007",College of the Bahamas,"Nassau , Bahamas"
Upsilon Eta,"April 16 , 2009",Florida Southern College,"Lakeland , Florida"
Upsilon Theta,"April 30 , 2009",Arlington County City-Wide ( Marymount University / The Art Institute of Washington ),"Arlington , Virginia"
Upsilon Iota,,Chowan University,"Murfreesboro , North Carolina"
Upsilon Kappa,,University of Arkansas - Fort Smith,"Fort Smith , Arkansas"
Upsilon Lambda,,North Carolina Wesleyan College,"Rocky Mount , North Carolina"
Upsilon Mu,"March 27 , 2011",Davidson College,"Davidson , North Carolina"
Upsilon Nu,"April 28 , 2013",University of Texas at San Antonio,"San Antonio , Texas"
Upsilon Xi,"April 27 , 2014",California State University Monterey Bay,"Seaside , California"
Upsilon Omicron,"April 26 , 2014",University of Bridgeport,"Bridgeport , Connecticut"
Upsilon Pi,"April 27 , 2014",Widener University,"Chester , Pennsylvania"
Upsilon Rho,"November 19 , 2016",University of Illinois Springfield,"Springfield , Illinois"
Upsilon Sigma,"April 15 , 2017",University of Maryland Eastern Shore,"Princess Anne , Maryland"
Upsilon Tau,"April 22 , 2017",Villanova University,"Villanova , Pennsylvania"
Upsilon Upsilon,"March 4 , 2018",DePaul University,"Chicago , Illinois"
