Date,Position,Name,To
16 May 2019,FW,Ellen White,Manchester City
28 May 2019,DF,Meaghan Sargeant,Bristol City
28 May 2019,FW,Charlie Wellings,Bristol City
5 June 2019,DF,Hayley Ladd,Manchester United
4 July 2019,DF,Marisa Ewers,Aston Villa
5 July 2019,FW,Lucy Quinn,Tottenham Hotspur
8 July 2019,MF,Sophie Bramford,Wolverhampton Wanderers
9 July 2019,DF,Aoife Mannion,Manchester City
19 July 2019,FW,Shania Hayles,Aston Villa
19 July 2019,DF,Paige Williams,Retired
1 August 2019,MF,Emma Follis,Aston Villa
