Year,Title,Role
1995,Destiny Turns on the Radio,Ralph Dellaposa
1996,The Truth About Cats & Dogs,Male Radio Caller / Bookstore Man
1996,The Cable Guy,Sales Manager
1996,Waiting for Guffman,UFO Expert
1997,Who 's the Caboose ?,Jaded Guy
1997,Men in Black,Newton
1998,Small Soldiers,Irwin Wayfair
1998,The Thin Pink Line,Tommy Dantsbury
1999,Ca n't Stop Dancing,Chapman
2000,Chain of Fools,Andy
2001,Ghost World,Gerrold
2001,Dr. Dolittle 2,Dog # 2
2001,Pootie Tang,Pootie Tang Impostor
2001,Scary Movie 2,Dwight Hartman
2001,One Day,The Turd
2002,Life Without Dick,Rex
2002,Men in Black II,Newton
2002,Martin & Orloff,Dan Wasserman
2002,Run Ronnie Run,Ronnie Dobbs / Pootie T / Chow Chow 's voice
2003,Melvin Goes to Dinner,Seminar Leader
