Call letters,Channel,Network ( s ),City and state,Meaning or notes
KVAL-TV,13 PSIP 13,CBS,"Eugene , Oregon",Willamette Val ley
KVAW,18 PSIP 16,Dark,"Eagle Pass , Texas",
KVCR-DT,5 PSIP 24,PBS,"San Bernardino , California",San Bernardino Valley College
KVCT,11 PSIP 19,19.1 Fox 45.3 KVTX-LP,"Victoria , Texas",
KVCW,29 PSIP 33,The CW,"Las Vegas , Nevada",Las V egas ' CW
KVDA,38 PSIP 60,Telemundo,"San Antonio , Texas",
KVEA,25 PSIP 52,Telemundo,"Corona , California",Meaning watch in Spanish
KVEO-TV,24 PSIP 23,NBC,"Brownsville , Texas",
KVEW,27 PSIP 42,42.1 ABC 44.2 MeTV,"Kennewick , Washington",Digital subchannel 44.2 rebroadcasts KAPP-DT2 Yakima . KVEW is semisatellite of KAPP
KVHP,18 PSIP 29,Fox,"Lake Charles , Louisiana",
KVIA-TV,17 PSIP 7,7.1 ABC 7.2 The CW,"El Paso , Texas",
KVIE,9 PSIP/cable 6,PBS,"Sacramento , California",
KVIH-TV,12 PSIP 12,12.1 ABC 12.2 The CW,"Clovis , New Mexico",Rebroadcasts KVII Amarillo
KVII-TV,7 PSIP 7,7.1 ABC 7.2 The CW,"Amarillo , Texas",VII is the Roman numeral for 7
KVLY-TV,36 PSIP 11,11.1 NBC 11.2 CBS 11.3 MeTV,"Fargo , North Dakota",V al l e y
KVMD,23 PSIP 31,LATV,"Twentynine Palms , California",
KVME-TV,20 PSIP 20,MeTV,"Bishop , California",
KVOA,23 PSIP 4,4.1 NBC,"Tucson , Arizona",
KVOS-TV,35 PSIP/cable 12,MeTV,"Bellingham , Washington","V oice O f S eattle ; from former sister radio station KVOS ( AM ) , which was originally licensed to Seattle"
KVPT,32 PSIP 18,PBS,"Fresno , California",V alley P ublic T elevision
