Season,Winner,Runner-up,Third
1966,Norway Jon Istad Ragnar Tveiten Ivar Nordkild Olav Jordet,Poland Józef Sobczak-Gąsienica Stanisław Szczepaniak Stanisław Łukaszczyk Józef Rubiś,Sweden Olle Petrusson Tore Eriksson Holmfrid Olsson Sture Ohlin
1967,Norway Jon Istad Ragnar Tveiten Ola Wærhaug Olav Jordet,Soviet Union Alexander Tikhonov Viktor Mamatov Rinnat Safin Nikolay Puzanov,Sweden Olle Petrusson Tore Eriksson Holmfrid Olsson Sture Ohlin
1969,Soviet Union Alexander Tikhonov Viktor Mamatov Rinnat Safin Vladimir Gundartsev,Norway Jon Istad Ragnar Tveiten Magnar Solberg Esten Gjelten,Finland Kalevi Vähäkylä Mauri Röppänen Mauno Peltonen Esko Marttinen
1970,Soviet Union Alexander Tikhonov Viktor Mamatov Rinnat Safin Alexander Ushakov,Norway Tor Svendsberget Ragnar Tveiten Magnar Solberg Esten Gjelten,East Germany Hans-Günther Jahn Hansjörg Knauthe Dieter Speer Horst Koschka
1971,Soviet Union Alexander Tikhonov Viktor Mamatov Rinnat Safin Nazim Mukhitov,Norway Tor Svendsberget Ragnar Tveiten Magnar Solberg Ivar Nordkild,Poland Józef Roczak Andrzej Rapacz Aleksander Klima Józef Stopka
1973,Soviet Union Alexander Tikhonov Rinnat Safin Juri Kolmakov Gennady Kovalyev,Norway Tor Svendsberget Esten Gjelten Ragnar Tveiten Kjell Hovda,East Germany Dieter Speer Manfred Geyer Herbert Wiegand Günther Bartnick
1974,Soviet Union Alexander Tikhonov Alexander Ushakov Nikolay Kruglov Juri Kolmakov,Finland Simo Halonen Carl-Henrik Flöjt Juhani Suutarinen Heikki Ikola,Norway Kjell Hovda Kåre Hovda Terje Hanssen Tor Svendsberget
1975,Finland Carl-Henrik Flöjt Simo Halonen Juhani Suutarinen Heikki Ikola,Soviet Union Alexander Tikhonov Aleksandr Elizarov Alexander Ushakov Nikolay Kruglov,Poland Jan Szpunar Andrzej Rapacz Ludwig Zięba Wojciech Truchan
1977,Soviet Union Alexander Tikhonov ( 6 ) Aleksandr Elizarov Alexander Ushakov Nikolay Kruglov,Finland Erkki Antila Raimo Seppänen Simo Halonen Heikki Ikola,East Germany Manfred Beer Klaus Siebert Frank Ullrich Manfred Geyer
1978,East Germany Manfred Beer Frank Ullrich Klaus Siebert Eberhard Rösch,Norway Odd Lirhus Sigleif Johansen Roar Nilsen Tor Svendsberget,West Germany Gerhard Winkler Andreas Schweiger Hansi Estner Heinrich Mehringer
1979,East Germany Manfred Beer Klaus Siebert Frank Ullrich Eberhard Rösch,Finland Simo Halonen Heikki Ikola Erkki Antila Raimo Seppänen,Soviet Union Vladimir Alikin Vladimir Barnashov Nikolay Kruglov Alexander Tikhonov
1981,East Germany Mathias Jung Matthias Jacob Frank Ullrich Eberhard Rösch,West Germany Peter Angerer Peter Schweiger Fritz Fischer Franz Bernreiter,Soviet Union Vladimir Alikin Anatoly Alyabyev Vladimir Barnashov Vladimir Gavrikov
1982,East Germany Frank Ullrich Mathias Jung Matthias Jacob Bernd Helmich,Norway Eirik Kvalfoss Kjell Søbak Odd Lirhus Rolf Storsveen,Soviet Union Vladimir Alikin Anatoly Alyabyev Vladimir Barnashov Viktor Semyonov
1983,Soviet Union Algimantas Šalna Juri Kashkarov Petr Miloradov Sergei Bulygin,East Germany Frank Ullrich Mathias Jung Matthias Jacob Frank-Peter Roetsch,Norway Kjell Søbak Eirik Kvalfoss Odd Lirhus Øivind Nerhagen
1985,Soviet Union Juri Kashkarov Algimantas Šalna Sergei Bulygin Andrei Senkov,East Germany Frank-Peter Roetsch Matthias Jacob Ralf Göthel André Sehmisch,West Germany Peter Angerer Walter Pichler Fritz Fischer Herbert Fritzenwenger
1986,Soviet Union Juri Kashkarov Dmitry Vasilyev Valeriy Medvedtsev Sergei Bulygin,East Germany Jürgen Wirth Frank-Peter Roetsch Matthias Jacob André Sehmisch,Italy Werner Kiem Gottlieb Taschler Johann Passler Andreas Zingerle
1987,East Germany Frank-Peter Roetsch Matthias Jacob André Sehmisch Jürgen Wirth,Soviet Union Dmitry Vasilyev Juri Kashkarov Alexandr Popov Valeriy Medvedtsev,West Germany Ernst Reiter Herbert Fritzenwenger Peter Angerer Fritz Fischer
1989,East Germany Frank Luck André Sehmisch Birk Anders Frank-Peter Roetsch,Soviet Union Juri Kashkarov Sergei Tchepikov Alexandr Popov Sergei Bulygin,Norway Geir Einang Sylfest Glimsdal Gisle Fenne Eirik Kvalfoss
1990,Italy Pieralberto Carrara Wilfried Pallhuber Johann Passler Andreas Zingerle,France Christian Dumont Xavier Blond Hervé Flandin Thierry Gerbier,East Germany Frank Luck André Sehmisch Mark Kirchner Birk Anders
1991,Germany Ricco Groß Frank Luck Mark Kirchner Fritz Fischer,Soviet Union Juri Kashkarov Alexandr Popov Sergei Tarasov Sergei Tchepikov,Norway Geir Einang Eirik Kvalfoss Jon Åge Tyldum Gisle Fenne
