Season,Champions,Runners-up,Promotion Playoff,Standings
2008-09,Union Berlin,Fortuna Düsseldorf,SC Paderborn,Table
2009-10,VfL Osnabrück,Erzgebirge Aue,FC Ingolstadt,Table
2010-11,Eintracht Braunschweig,Hansa Rostock,Dynamo Dresden,Table
2011-12,SV Sandhausen,VfR Aalen,Jahn Regensburg,Table
2012-13,Karlsruher SC,Arminia Bielefeld,VfL Osnabrück,Table
2013-14,1 . FC Heidenheim,RB Leipzig,Darmstadt 98,Table
2014-15,Arminia Bielefeld,MSV Duisburg,Holstein Kiel,Table
2015-16,Dynamo Dresden,Erzgebirge Aue,Würzburger Kickers,Table
2016-17,MSV Duisburg,Holstein Kiel,Jahn Regensburg,Table
2017-18,1 . FC Magdeburg,SC Paderborn,Karlsruher SC,Table
2018-19,VfL Osnabrück,Karlsruher SC,Wehen Wiesbaden,Table
