Dates,Tournament,Location,Winner,1st prize ( $ )
Jan 24-25,HSBC LPGA Brasil Cup *,Brazil,Catriona Matthew ( n/a ),"100,000"
Feb 12-14,SBS Open at Turtle Bay,Hawaii,Angela Stanford ( 4 ),"180,000"
Feb 26 - Mar 1,Honda LPGA Thailand,Thailand,Lorena Ochoa ( 25 ),"217,500"
Mar 5-8,HSBC Women 's Champions,Singapore,Jiyai Shin ( 4 ),"300,000"
Mar 20-22,MasterCard Classic,Mexico,Pat Hurst ( 6 ),"195,000"
Mar 26-29,J Golf Phoenix LPGA International,Arizona,Karrie Webb ( 36 ),"225,000"
Apr 2-5,Kraft Nabisco Championship,California,Brittany Lincicome ( 3 ),"300,000"
Apr 23-26,Corona Championship,Mexico,Lorena Ochoa ( 26 ),"195,000"
May 7-10,Michelob ULTRA Open at Kingsmill,Virginia,Cristie Kerr ( 12 ),"330,000"
May 14-17,Sybase Classic,New Jersey,Ji Young Oh ( 2 ),"300,000"
May 21-24,LPGA Corning Classic,New York,Yani Tseng ( 2 ),"225,000"
Jun 4-7,LPGA State Farm Classic,Illinois,In-Kyung Kim ( 2 ),"255,000"
Jun 11-14,McDonald 's LPGA Championship,Maryland,Anna Nordqvist ( 1 ),"300,000"
Jun 25-28,Wegmans LPGA,New York,Jiyai Shin ( 5 ),"300,000"
Jul 2-5,Jamie Farr Owens Corning Classic,Ohio,Eunjung Yi ( 1 ),"210,000"
Jul 9-12,U.S. Women 's Open,Pennsylvania,Eun-Hee Ji ( 2 ),"585,000"
Jul 23-26,Evian Masters,France,Ai Miyazato ( 1 ),"487,500"
Jul 30 - Aug 2,Ricoh Women 's British Open,England,Catriona Matthew ( 3 ),"335,000"
Aug 21-23,Solheim Cup,Illinois,United States,n/a
Aug 28-30,Safeway Classic,Oregon,M. J. Hur ( 1 ),"255,000"
