Name,Year/degree,Notability
"James Dundas , Lord Arniston",,Lord of Session and Shire Commissioner to the Scottish Parliament
Duncan McNeill,1809 MD,Advocate ; judge ; Tory politician ; Lord Justice General ; Lord President of the Court of Session
Ronald Mackay,M.A,"Lawyer and judge of the College of Justice , sitting in the Inner House of the Court of Session"
W. Douglas Cullen,,"Senior member of the Scottish judiciary , served as Lord Justice General and Lord President of the Court of Session"
George Dempster,1750 ( did not graduate ),"Advocate , landowner , agricultural improver , politician ; served as MP for the Perth Burghs ; founded the bank George Dempster & Co. ; director of the East India Company ; provost of the town of St Andrews ; director of the Highland Society ; key figure of the Scottish Enlightenment"
William Kirk Dickson,1912 L.L.D,Advocate ; librarian ; writer ; Keeper of the Advocates ' Library ; Librarian of the National Library of Scotland
David Erskine,,Judge and MP for Forfarshire
William Lamb,1520 M.A,"Cleric , lawyer , author , senator at the College of Justice"
George Mackenzie,1653,"Lawyer , Lord Advocate , and legal writer"
Robert Moray,C. 16th century ( did not graduate ),"Statesman , diplomat , judge , spy , freemason , natural philosopher , known for his role in the founding of the Royal Society"
