Year,Title,Role
1965,Wild on the Beach,Herself
1967,Good Times,Herself
1969,Chastity,Chastity
1982,"Come Back to the Five and Dime , Jimmy Dean , Jimmy Dean",Sissy
1983,Silkwood,Dolly Pelliker
1985,Mask,Rusty Dennis
1987,Suspect,Kathleen Riley
1987,The Witches of Eastwick,Alexandra Medford
1987,Moonstruck,Loretta Castorini
1990,Mermaids,Rachel Flax
1992,The Player,Herself
1994,Ready to Wear ( Prêt-à-Porter ),Herself
1996,Faithful,Margaret
1999,Tea with Mussolini,Elsa Strauss
2003,Stuck on You,Herself
2010,Burlesque,Tess
2011,Zookeeper,Janet the Lioness
2018,Mamma Mia ! Here We Go Again,Ruby Sheridan
