Team & Current Season,Stadium,Capacity,Location
Batley Bulldogs,Mount Pleasant,"6,000","Batley , West Yorkshire"
Dewsbury Rams,Tetley 's Stadium,"3,500","Dewsbury , West Yorkshire"
Featherstone Rovers,Bigfellas Stadium,"6,750","Featherstone , West Yorkshire"
Halifax,The Shay Stadium,"6,561","Halifax , West Yorkshire"
Hunslet Hawks,South Leeds Stadium,"4,000","Leeds , West Yorkshire"
Keighley Cougars,Cougar Park,"7,800","Keighley , West Yorkshire"
Leigh Centurions,Leigh Sports Village,"12,700","Leigh , Greater Manchester"
Sheffield Eagles,Bramall Lane,"32,702","Sheffield , South Yorkshire"
Swinton Lions,Leigh Sports Village,"12,700","Leigh , Greater Manchester"
York City Knights,Huntington Stadium,"3,428","York , North Yorkshire"
