Pos,No,Driver,Constructor,Time,Gap
1,17,Nicola Larini,Osella - Ford,1:18.379,-
2,30,Philippe Alliot,Lola - Lamborghini,1:18.523,+0.144
3,18,Piercarlo Ghinzani,Osella - Ford,1:19.153,+0.774
4,37,JJ Lehto,Onyx - Ford,1:19.442,+1.063
5,36,Stefan Johansson,Onyx - Ford,1:19.539,+1.160
6,29,Michele Alboreto,Lola - Lamborghini,1:20.129,+1.750
7,34,Bernd Schneider,Zakspeed - Yamaha,1:20.179,+1.800
8,31,Roberto Moreno,Coloni - Ford,1:20.183,+1.804
9,33,Oscar Larrauri,EuroBrun - Judd,1:20.750,+2.371
10,35,Aguri Suzuki,Zakspeed - Yamaha,1:21.012,+2.633
11,41,Yannick Dalmas,AGS - Ford,1:21.022,+2.643
12,40,Gabriele Tarquini,AGS - Ford,1:21.600,+3.221
13,32,Enrico Bertaggia,Coloni - Ford,1:24.081,+5.702
