Represent,Contestant,Age,Height,Hometown
Bocas del Toro,Marielena González Peña,22,1.70 m ( 5 ft 7 in ),Bocas del Toro
Chiriquí,Sue Eveling Guerra Herrera,24,1.82 m ( 5 ft 11 ⁄ 4 in ),David
Chiriquí Occidente,Ariadna Fernández Rodríguez,18,1.83 m ( 6 ft 0 in ),Ciudad de Panamá
Coclé,Tatiana Campagnani Gonzalez,23,1.83 m ( 6 ft 0 in ),Ciudad de Panamá
Colón,Keshia Giselle Leis Luna,23,1.80 m ( 5 ft 10 ⁄ 4 in ),Ciudad de Panamá
Darién,Christine Fábrega Rodriguez,19,1.70 m ( 5 ft 7 in ),Ciudad de Panamá
Herrera,Sheldry Sáez Bustavino,19,1.73 m ( 5 ft 8 in ),Chitré
Los Santos,Marisel Medina de la Rosa,19,1.75 m ( 5 ft 9 in ),Chitré
Panamá Central,Keity Mendieta Britto,20,1.77 m ( 5 ft 9 ⁄ 4 in ),Ciudad de Panamá
Panamá Este,Jelenska García Ureña,23,1.76 m ( 5 ft 9 ⁄ 4 in ),Ciudad de Panamá
Panamá Oeste,Nicole Nathalie Huerbsch,21,1.70 m ( 5 ft 7 in ),Ciudad de Panamá
Veraguas,Irene Núñez Quintero,23,1.75 m ( 5 ft 9 in ),Santiago de Veraguas
