US,CAN,Single,Artist
21,16,455 Rocket,Kathy Mattea
4,4,All the Good Ones Are Gone,Pam Tillis
2,2,Amen Kind of Love,Daryle Singletary
3,14,Another You,David Kersh
2,3,"Better Man , Better Off",Tracy Lawrence
3,5,Big Love,Tracy Byrd
1,1,Carrying Your Love with Me,George Strait
30,16,Cold Outside,Big House
1,3,Come Cryin ' to Me,Lonestar
5,7,Count Me In,Deana Carter
3,4,"Dancin ' , Shaggin ' on the Boulevard",Alabama
21,12,Dark Horse,Mila Mason
11,12,"Day In , Day Out",David Kersh
17,13,Do n't Love Make a Diamond Shine,Tracy Byrd
4,4,Do n't Take Her She 's All I Got,Tracy Byrd
3,2,"Drink , Swear , Steal & Lie",Michael Peterson
20,22,Ease My Troubled Mind,Ricochet
3,1,Everybody Knows,Trisha Yearwood
9,6,Everything I Love,Alan Jackson
1,2,Everywhere,Tim McGraw
