Pick,Player,Position,Nationality,Team,College/From
25,Tyler Smith,F,United States,Anaheim Arsenal,Utah Jazz ( preseason )
26,Frankie Williams,PG,United States,Sioux Falls Skyforce,Chicago Bulls
27,Eugene Jeter,PG,United States,Colorado 14ers,Portland
28,David Logan,PG/SG,United States Poland,Fort Worth Flyers,Hapoel MB9 Ramat HaSharon
29,Brandon Armstrong,SG,United States,Dakota Wizards,Roseto Sharks { Italy }
30,Jason Smith,F,United States,Arkansas RimRockers,Ole Miss
31,Akin Akingbala,F,Nigeria,Los Angeles D-Fenders,Clemson
32,Mike Hall,F,United States,Tulsa 66ers,George Washington
33,Dexter Lyons,SF,United States,Idaho Stampede,UCF
34,Brock Gillespie,PG,United States,Austin Toros,Rice
35,Yuta Tabuse,PG,Japan,Bakersfield Jam,Phoenix Suns
36,Eddy Fobbs,F-C,United States,New Mexico Thunderbirds,Sam Houston State
