No,Name,Field,Party,Date of Appointment,Date of Retirement
1,Raghunath Mohapatra,Art,Bharatiya Janata Party,14-Jul-2018,13-Jul-2024
2,Sonal Mansingh,Art,Bharatiya Janata Party,14-Jul-2018,13-Jul-2024
3,Rakesh Sinha,Literature,Bharatiya Janata Party,14-Jul-2018,13-Jul-2024
4,Ram Shakal,Social work,Bharatiya Janata Party,14-Jul-2018,13-Jul-2024
5,Sambhaji Raje,Social work,Bharatiya Janata Party,13-Jun-2016,03-May-2022
6,Roopa Ganguly,Art,Bharatiya Janata Party,04-Oct-2016,24-Apr-2022
7,Suresh Gopi,Art,Bharatiya Janata Party,25-Apr-2016,24-Apr-2022
8,Subramanian Swamy,Economics,Bharatiya Janata Party,25-Apr-2016,24-Apr-2022
9,Narendra Jadhav,Economics,Nominated,25-Apr-2016,24-Apr-2022
10,Mary Kom,Sport,Nominated,25-Apr-2016,24-Apr-2022
11,Swapan Dasgupta,Journalism,Nominated,25-Apr-2016,24-Apr-2022
12,K. T. S. Tulsi,Law,Nominated,25-Feb-2014,24-Feb-2020
