Fraction,Name,Function
CSP,Denis Barth,Provincial Councillor in Liège
SP,Joseph Barth,Provincial Councillor in Liège
Ecolo,Marlene Bongartz-Kaut,Provincial Councillor in Liège
Ecolo,Monika Dethier-Neumann,Member of the Walloon Parliament
CSP,Mathieu Grosch,Member of the European Parliament
PFF,Kattrin Jadin,Federal Representative
PFF,Heinz Keul,Provincial Councillor in Liège
PFF,Balduin Lux,Provincial Councillor in Liège
CSP,Anne Marenne-Loiseau,Provincial Councillor in Liège
SP,Edmund Stoffels,Member of the Walloon Parliament
