School,Number of Awards,Years
Abraham Lincoln,4,"1995 , 2004 , 2009 , 2014"
St. Raymond,4,"1991 , 2000 , 2001 , 2017"
Shenendehowa,2,"1987 , 2016"
Holy Cross,2,"1996 , 2008"
Rice,2,"1994 , 1998"
Mount Vernon,2,"2006 , 2011"
Jamesville-Dewitt,2,"2009 , 2012"
Half Hollow Hills East,1,2018
Iona Prep,1,2015
Christ the King,1,2013
Long Island Lutheran,1,2011
Half Hollow Hills West,1,2010
Niagara Falls,1,2007
Christian Brothers Academy ( Syracuse ),1,2005
McQuaid Jesuit ( Rochester ),1,2003
Amityville,1,2002
Turner Carroll ( Buffalo ),1,1999
Peekskill,1,1997
Hackley,1,1993
Greece Athena,1,1992
