Club,Location,Stadium,2010 season
Atlantas,Klaipėda,Žalgiris Stadium ( Klaipėda ),"I Lyga , 7th"
Banga,Gargždai,Gargždai Stadium,"A Lyga , 6th"
Dainava,Alytus,,"I Lyga , 2nd/3rd"
Ekranas,Panevėžys,Aukštaitija Stadium,"A Lyga , 1st"
FBK Kaunas,Kaunas,S. Darius and S. Girėnas Stadium,"I Lyga , 1st"
FC Klaipėda,Klaipėda,Žalgiris Stadium ( Klaipėda ),"A Lyga , 8th"
Kruoja,Pakruojis,Pakruojis Stadium,"A Lyga , 7th"
Mažeikiai,Mažeikiai,Sports Centre Stadium,"A Lyga , 9th"
Sūduva,Marijampolė,Sūduva Stadium,"A Lyga , 2nd"
Šiauliai,Šiauliai,Savivaldybė Stadium,"A Lyga , 5th"
Tauras,Tauragė,Vytauto Stadium,"A Lyga , 4th"
Žalgiris,Vilnius,Žalgiris Stadium,"A Lyga , 3rd"
