Mall name,Town,State,Year opened
Seminary South Shopping Center,Fort Worth,Texas,1962
Hancock Shopping Center,Austin,Texas,1964
Coronado Center,Albuquerque,New Mexico,1965
Natick Collection,Natick ( Greater Boston ),Massachusetts,1966
Colonie Center,Albany,New York,1966
Inland Center,San Bernardino ( Inland Empire area ),California,1966
Midland Mall,Warwick,Rhode Island,1967
Woodfield Mall,Schaumburg ( Chicago metropolitan area ),Illinois,1971
Town East Mall,Mesquite ( Greater Dallas Area ),Texas,1971
Valley View Center,Dallas,Texas,1973
Metrocenter,Phoenix,Arizona,1973
Altamonte Mall,Altamonte Springs,Florida,1974
Maplewood Mall,Maplewood ( Minneapolis-Saint Paul area ),Minnesota,1974
Independence Center,Independence ( Kansas City area ),Missouri,1974
Westminster Mall,Westminster ( Orange County ),California,1974
Brea Mall,Brea ( Orange County ),California,1975
Northbrook Court,Northbrook ( Chicago metropolitan area ),Illinois,1976
Orland Square Mall,Orland Park ( Chicago metropolitan area ),Illinois,1976
Eden Prairie Center,Eden Prairie ( Minneapolis-Saint Paul area ),Minnesota,1976
Florence Mall,Florence ( Cincinnati metropolitan area ),Kentucky,1976
